running_num	fish_id	id_date	common_name	length	id_notes
148	G.F.AR.01.015	3/18/2019	red drum	41	
149	G.F.AR.01.016	3/18/2019	red drum	34	
150	G.F.AR.01.017	3/18/2019	red drum	32	
151	G.F.AR.02.001	3/18/2019	red drum	35	
152	G.F.AR.02.002	3/18/2019	red drum	44	
153	G.F.AR.02.003	3/18/2019	red drum	10	
154	G.F.AR.03.001	3/18/2019	red drum	21	
155	G.F.AR.03.002	3/18/2019	red drum	22	
156	G.F.AR.03.003	3/18/2019	atlantic croaker	14	
157	G.F.AR.03.004	3/18/2019	atlantic croaker	16	
158	G.F.AR.03.005	3/18/2019	atlantic croaker	22	
159	G.F.AR.03.006	3/18/2019	red drum	21	
160	G.F.AR.03.007	3/18/2019	red drum	15	
161	G.F.AR.03.008	3/18/2019	red drum	23	
162	G.F.AR.03.009	3/18/2019	red drum	23	
163	G.F.AR.03.010	3/18/2019	red drum	22	
164	G.F.AR.03.011	3/18/2019	red drum	21	
165	G.F.AR.03.012	3/18/2019	atlantic croaker	22	
166	G.F.AR.03.013	3/18/2019	red drum	23	
167	G.F.AR.03.014	3/18/2019	atlantic croaker	20	
168	G.F.AR.03.015	3/18/2019	red drum	20	
169	G.F.AR.03.016	3/18/2019	atlantic croaker	20	
170	G.F.AR.03.017	3/18/2019	red drum	21	
171	G.F.AR.03.018	3/18/2019	atlantic croaker	20	
172	G.F.AR.03.019	3/18/2019	atlantic croaker	18	
173	G.F.AR.03.020	3/18/2019	red drum	30	
174	G.F.AR.03.021	3/18/2019	red drum	38	
175	G.F.AR.03.022	3/18/2019	red drum	25	
176	G.F.AR.03.023	3/18/2019	red drum	28	
177	G.F.AR.03.024	3/18/2019	red drum	30	
178	G.F.AR.03.025	3/18/2019	red drum	31	
179	G.F.AR.03.026	3/18/2019	red drum	31	
180	G.F.AR.03.027	3/18/2019	red drum	35	
181	G.F.AR.03.028	3/18/2019	red drum	28	
182	G.F.AR.03.029	3/18/2019	red drum	26	
183	G.F.AR.03.030	3/18/2019	red drum	43	
184	G.F.AR.03.031		red drum	29	
185	G.F.AR.03.032		red drum	40	
186	G.F.AR.03.033		red drum	29	
187	G.F.AR.03.034		red drum	31	
188	G.F.AR.03.035		red drum	34	
189	G.F.AR.03.036		red drum	41	
190	G.F.AR.03.037		red drum	33	
191	G.F.AR.03.038		red drum	30	
192	G.F.AR.03.039		red drum	30	
193	G.F.LV.01.001		atlantic croaker	17	
194	G.F.LV.01.002		atlantic croaker	18	
195	G.F.LV.01.003		atlantic croaker	17	
196	G.F.LV.01.004		atlantic croaker	16	
197	G.F.LV.01.005		atlantic croaker	18	
198	G.F.LV.01.006		atlantic croaker	15	
199	G.F.LV.01.007		atlantic croaker	24	
200	G.F.LV.01.008		atlantic croaker	16	
201	G.F.SA.01.001	3/25/2019	atlantic croaker	16	
202	G.F.SA.01.002	3/25/2019	atlantic croaker	18	
203	G.F.SA.01.003	3/25/2019	atlantic croaker	23	
204	G.F.SA.01.004	3/25/2019	atlantic croaker	17	
205	G.F.SA.01.005	3/25/2019	atlantic croaker	17	
206	G.F.SA.01.006	3/25/2019	atlantic croaker	15	intestines hanging out
207	G.F.SA.01.007	3/25/2019	atlantic croaker	16	
208	G.F.SA.01.008	3/25/2019	atlantic croaker	19	
209	G.F.SA.01.009	3/25/2019	atlantic croaker	15	
210	G.F.SA.01.010	3/25/2019	atlantic croaker	16	
211	G.F.SA.01.011	3/25/2019	atlantic croaker	15	
212	G.F.SA.01.012	3/25/2019	red drum	15	
213	G.F.SA.01.013	3/25/2019	atlantic croaker	14	
214	G.F.SA.01.014	3/25/2019	atlantic croaker	18	
215	G.F.SA.01.015	3/25/2019	atlantic croaker	12	intestines hanging out
216	G.F.SA.01.016	3/25/2019	atlantic croaker	12	
217	G.F.SA.01.017	3/25/2019	atlantic croaker	12	
218	G.F.SA.01.018	3/25/2019	atlantic croaker	14	
219	G.F.SA.01.019	3/25/2019	atlantic croaker	15	
220	G.F.SA.01.020	3/25/2019	atlantic croaker	18	
221	G.F.SA.01.021	3/25/2019	atlantic croaker	15	
222	G.F.SA.01.022	3/25/2019	atlantic croaker	13	
223	G.F.SA.01.023	3/25/2019	atlantic croaker	13	
224	G.F.SA.01.024	3/25/2019	atlantic croaker	13	
225	G.F.SA.01.025	3/25/2019	atlantic croaker	11	
226	G.F.SA.01.026	3/25/2019	atlantic croaker	13	
227	G.F.SA.01.027	3/25/2019	atlantic croaker	15	
228	G.F.SA.01.028	3/25/2019	atlantic croaker	14	
229	G.F.SA.01.029	3/25/2019	atlantic croaker	14	
230	G.F.SA.01.030	3/25/2019	atlantic croaker	12	
231	G.F.SA.01.031	3/25/2019	atlantic croaker	13	
232	G.F.SA.01.032	3/25/2019	atlantic croaker	13	
233	G.F.SA.01.033	3/25/2019	atlantic croaker	15	
234	G.F.SA.01.034	3/25/2019	atlantic croaker	17	
235	G.F.AR.01.030	3/27/2019	silverside	46	
236	G.F.AR.01.031	3/27/2019	silverside	47	
237	G.F.AR.01.032	3/27/2019	silverside	41	
238	G.F.AR.01.033	3/27/2019	silverside	28	
239	G.F.AR.01.034	3/27/2019	silverside	40	
240	G.F.AR.01.035	3/27/2019	silverside	43	
241	G.F.AR.01.036	3/27/2019	silverside	41	
242	G.F.AR.01.037	3/27/2019	silverside	32	
243	G.F.AR.01.038	3/27/2019	silverside	44	
244	G.F.AR.01.039	3/27/2019	silverside	45	
245	G.F.AR.01.040	3/27/2019	silverside	40	
246	G.F.AR.01.041	3/27/2019	silverside	47	
247	G.F.AR.01.042	3/27/2019	silverside	45	
248	G.F.AR.01.043	3/27/2019	silverside	24	
249	G.F.AR.01.044	3/27/2019	silverside	46	
250	G.F.AR.01.045	3/27/2019	silverside	45	
251	G.F.AR.01.046	3/27/2019	silverside	29	
252	G.F.AR.01.047	3/27/2019	silverside	35	
253	G.F.AR.01.048	3/27/2019	silverside	42	
254	G.F.AR.01.049	3/27/2019	silverside	42	
255	G.F.AR.01.050	3/27/2019	silverside	25	
256	G.F.AR.02.004	3/27/2019	silverside	31	
257	G.F.AR.02.005	3/27/2019	silverside	32	
258	G.F.AR.02.006	3/27/2019	silverside	29	
259	G.F.AR.02.007	3/27/2019	silverside	32	
260	G.F.AR.02.008	3/27/2019	silverside	25	
261	G.F.AR.02.009	3/27/2019	silverside	30	
262	G.F.AR.02.010	3/27/2019	silverside	26	
263	G.F.AR.02.011	3/27/2019	silverside	35	
264	G.F.AR.02.012	3/27/2019	silverside	33	
265	G.F.AR.02.013	3/27/2019	silverside	36	
266	G.F.AR.02.014	3/27/2019	silverside	38	
267	G.F.AR.02.015	3/27/2019	silverside	33	
268	G.F.AR.02.016	3/27/2019	silverside	30	
269	G.F.AR.02.017	3/27/2019	silverside	48	
270	G.F.AR.02.018	3/27/2019	silverside	33	
271	G.F.AR.02.019	3/27/2019	silverside	31	
272	G.F.AR.02.020	3/27/2019	silverside	32	
273	G.F.AR.02.021	3/27/2019	silverside	32	
274	G.F.AR.02.022	3/27/2019	silverside	28	
275	G.F.AR.02.023	3/27/2019	silverside	30	
276	G.F.AR.03.041	3/27/2019	silverside	48	
277	G.F.AR.03.042	3/27/2019	silverside	48	
278	G.F.AR.03.043	3/27/2019	silverside	38	
279	G.F.AR.03.044	3/27/2019	silverside	50	
280	G.F.AR.03.045	3/27/2019	silverside	40	
281	G.F.AR.03.046	3/27/2019	silverside	36	
